COIL,CLUSTER,DIF_TIPO_1_max,DIF_TIPO_2_max,DIF_TIPO_3_max,DIF_TIPO_4_max,DIF_TIPO_5_max,DIF_TIPO_6_max
401431,1,0,1,1,0,0,0
401810,5,0,0,1,0,0,0
401812,4,0,0,1,0,0,0
401813,5,0,0,1,1,0,0
401816,5,0,0,0,0,0,0
401818,4,0,0,0,0,0,0
401822,5,0,0,0,0,0,0
401823,3,0,0,0,0,0,0
401827,5,0,0,0,0,0,0
401828,1,0,0,0,0,0,0
402025,1,0,0,1,0,0,0
402032,5,0,0,0,0,1,0
402116,3,0,0,1,0,0,0
402214,4,0,0,0,0,0,0
402239,4,0,0,0,0,0,0
402412,3,0,0,0,0,0,0
402413,3,0,0,0,0,0,0
402428,0,0,0,0,0,0,0
402440,3,0,0,0,0,0,0
402624,5,0,0,0,0,0,0
402627,5,0,0,0,0,0,0
402628,5,0,0,0,0,0,0
402629,5,0,0,0,0,0,0
402630,5,0,0,0,0,0,0
402631,5,0,0,0,0,0,0
402632,5,0,0,0,0,0,0
402633,5,0,0,0,0,0,0
402634,5,0,0,0,0,0,0
402823,5,0,0,0,0,0,0
402824,5,0,0,0,0,0,0
402825,5,0,0,0,0,0,0
402828,1,0,0,0,0,0,0
402829,4,0,0,0,0,0,0
402832,5,0,0,0,0,0,0
402835,5,0,0,0,0,0,0
402839,1,0,0,0,0,0,0
402844,3,0,0,0,0,0,0
403010,4,0,0,0,0,0,0
403023,4,0,0,0,0,0,0
403024,4,0,0,0,0,0,0
403037,4,0,0,0,0,0,0
403038,4,0,0,0,0,0,0
403044,3,0,0,0,0,0,0
403045,3,0,0,0,0,0,0
403119,5,0,0,0,0,0,0
403216,4,0,0,0,0,0,0
403217,5,0,0,0,0,0,0
403247,3,0,0,0,0,0,0
403252,4,0,0,0,0,0,0
403253,1,0,0,0,0,0,0
403273,5,0,0,0,0,0,0
403276,5,0,0,0,0,0,0
403318,4,1,0,1,0,0,0
403331,4,0,0,0,0,0,0
403337,4,0,0,1,0,0,0
403338,4,1,0,1,0,0,0
403410,3,1,0,0,0,0,0
403531,3,0,0,0,0,0,0
403539,3,0,0,0,0,0,0
403541,3,0,0,0,0,0,0
403623,3,0,0,0,0,0,0
403624,3,0,0,0,0,0,0
403626,3,0,0,0,0,0,0
403633,3,0,0,0,0,0,0
403713,4,0,0,0,0,0,0
403733,5,0,0,1,1,0,0
403734,5,0,1,1,0,0,0
403741,5,0,0,0,0,0,0
403742,1,0,0,0,0,0,0
403813,3,0,0,1,0,0,0
403913,3,0,0,0,1,0,0
403914,3,0,0,0,1,0,0
403915,3,0,0,0,0,0,0
403927,5,0,0,0,0,0,0
403928,3,0,0,0,0,0,0
403929,5,0,0,0,0,0,0
404114,3,0,0,0,0,0,0
404115,3,0,0,1,0,0,0
404210,3,0,0,1,1,0,0
404212,3,0,0,0,0,0,0
404337,5,0,0,0,0,0,0
404338,5,0,0,0,0,0,0
404343,5,0,0,0,0,0,0
404613,3,0,0,1,0,0,0
404618,5,0,0,0,0,0,0
404619,5,0,0,0,0,0,0
404638,3,0,0,0,0,0,0
404641,4,0,0,0,0,0,0
404651,3,0,0,0,0,0,0
404655,5,0,0,0,0,0,0
404711,3,0,0,1,0,0,0
404719,1,0,0,0,0,0,0
404720,5,0,0,0,0,0,0
404722,4,0,0,0,0,0,0
404723,4,0,0,0,0,0,0
404724,3,0,0,1,0,0,0
404725,3,0,0,1,0,0,0
405612,3,0,0,1,0,0,0
405613,3,0,0,1,0,0,0
405623,3,0,0,1,1,0,0
405625,3,0,0,1,0,0,0
405632,5,0,0,0,0,0,0
405811,3,0,0,1,1,0,0
405813,3,0,0,1,0,0,0
405814,5,0,1,0,0,1,0
405820,5,0,0,0,0,0,0
405823,4,0,0,1,0,0,0
405824,5,0,0,0,0,0,0
405828,4,0,0,0,0,0,0
405830,4,1,1,1,0,0,0
405910,3,0,0,1,0,0,0
405913,3,0,0,0,0,0,0
405917,4,1,0,1,1,0,0
405918,5,0,1,0,0,1,0
405920,4,0,0,1,0,0,0
405921,5,0,0,0,0,0,0
405924,4,0,0,0,0,0,0
405926,1,0,0,1,1,0,0
406010,5,0,0,0,0,0,0
406012,3,0,0,1,1,1,0
406116,5,0,0,0,0,0,0
406419,5,0,0,0,0,0,0
406429,5,0,0,1,0,0,0
406446,5,0,0,0,0,0,0
406610,3,0,0,0,0,0,0
